"번호","k-아파트코드","k-아파트명","k-단지분류(아파트,주상복합등등)","kapt도로명주소","주소(시도)k-apt주소split","주소(시군구)","주소(읍면동)","나머지주소","주소(도로명)","주소(도로상세주소)","k-전화번호","k-팩스번호","단지소개기존clob","단지첨부파일","k-세대타입(분양형태)","k-관리방식","k-복도유형","k-난방방식","k-전체동수","k-전체세대수","k-건설사(시공사)","k-시행사","k-사용검사일-사용승인일","k-연면적","k-주거전용면적","k-관리비부과면적","k-전용면적별세대현황(60㎡이하)","k-전용면적별세대현황(60㎡~85㎡이하)","k-85㎡~135㎡이하","k-135㎡초과","k-홈페이지","k-등록일자","k-수정일자","고용보험관리번호","경비비관리형태","세대전기계약방법","청소비관리형태","건축면적","주차대수","기타/의무/임대/임의=1/2/3/4","단지승인일","사용허가여부","관리비 업로드","좌표X","좌표Y","단지신청일"
"10514","A10095501","동대문와이즈캐슬","주상복합","서울특별시 중구 퇴계로75길 7","서울","중구","흥인동","","퇴계로75길","7","0222567161","0222567163","","","분양","직영","복도식","개별난방","1","150","롯데건설(주)","애경개발(주)","2014-10-23 00:00:00.0","10988","2434","5134","150","0","0","","","2017-02-01 10:49:21.0","2022-04-05 04:21:50.0","","위탁","단일계약","위탁","0.00","0","의무","2014-11-25 11:11:45.0","Y","Y","127.015438181","37.565762209","2017-02-01 10:49:21.0"
"10527","A14375302","워커힐푸르지오","아파트","서울특별시 광진구 아차산로78길 12","서울","광진구","광장동","","아차산로78길","12","024469342","024479343","","","분양","위탁관리","계단식","개별난방","2","200","대우건설","일신아파트리모델링조합","1987-03-02 00:00:00.0","26756","15271","26057","0","130","70","","","2017-02-01 10:49:21.0","2022-04-05 05:40:55.0","","위탁","종합계약","위탁","486095.00","205","의무","2019-10-07 09:13:48.0","Y","N","127.10927513","37.549872011","2017-02-01 10:49:21.0"
"10528","A14375303","현대홈타운12차","아파트","서울특별시 광진구 천호대로 808","서울","광진구","광장동","","천호대로","808","024445112","024441357","","","분양","위탁관리","계단식","개별난방","2","119","현대건설(주)","국제약품","2004-09-01 00:00:00.0","32488","17261","21360","0","0","0","","","2017-02-01 10:49:21.0","2022-04-05 05:42:51.0","","위탁","종합계약","위탁","1350.26","277","기타","2020-09-01 17:54:18.0","Y","N","127.102807658","37.545078473","2020-09-01 11:52:14.0"
"10617","A13778209","LH서초4단지","아파트","서울특별시 서초구 양재대로2길 33","서울","서초구","우면동","엘에이치서초4단지","양재대로2길","33","0220580377","0220580379","","","임대+분양","위탁관리","계단식","개별난방","4","424","울트라건설(주) 외","한국토지주택공사","2013-12-04 00:00:00.0","56985","29708","56637","202","222","0","","","2017-02-01 10:49:21.0","2022-04-05 16:07:00.0","","위탁","종합계약","위탁","56984.00","470","의무","2019-03-14 11:34:10.0","Y","N","127.023255862","37.457893479","2017-02-01 10:49:21.0"
"11550","A10027708","인왕산2차아이파크아파트","아파트","서울특별시 종로구 통일로18길 34","서울","종로구","무악동","인왕산2차아이파크","통일로18길","34","027398381","027398382","","","분양","위탁관리","계단식","개별난방","5","167","현대산업개발","무악연립제2주택재건축정비사업","2015-08-28 00:00:00.0","28078","15004","14952","0","134","33","","","2017-02-10 09:09:28.0","2022-04-05 04:12:05.0","","직영","단일계약","위탁","2231.40","212","의무","2017-03-03 14:06:34.0","Y","N","126.959494207","37.576000837","2017-02-10 09:09:28.0"
"15083","A10027364","덕수궁롯데캐슬아파트 ","아파트","","서울","중구","순화동","서울특별시 중구 서소문로9길 28","","","027798434","027798435","","","분양","위탁관리","복도식","개별난방","2","296","롯데건설","순화 제1-1구역 도시환경정비사업조합","2016-08-31 00:00:00.0","76502","22997","30995","88","152","56","","","2017-02-10 12:21:22.0","2022-04-05 04:24:19.0","","위탁","종합계약","위탁","4759.94","363","의무","2017-03-03 14:07:58.0","Y","N","126.970353714468","37.5635869321786","2017-02-10 12:21:22.0"
"15089","A10027396","신정숲속마을아파트","아파트","","서울","양천구","신정동","신정숲속마을","","","0220608101","0220608103","","","임대+분양","위탁관리","혼합식","지역난방","7","560","(주)한일건설","sh공사","2016-08-10 00:00:00.0","64358","30992","45836","420","140","0","","","2017-02-10 12:21:22.0","2022-04-05 11:44:18.0","918-15-07281-1","위탁","단일계약","위탁","4510.33","531","의무","2018-04-19 16:59:56.0","Y","N","126.831471900625","37.5062441985981","2017-02-10 12:21:22.0"
"15108","A10027433","마곡엠밸리8단지","아파트","","서울","강서구","마곡동","관리사무소","","","0220640395","0220640389","","","임대+분양","위탁관리","계단식","지역난방","10","531","한진중공업","SH공사","2016-07-22 00:00:00.0","81343","36404","36404","345","186","0","","","2017-02-10 12:21:22.0","2022-04-05 12:45:41.0","","위탁","종합계약","위탁","6469.33","633","의무","2019-06-07 13:44:07.0","Y","N","126.819535","37.563757","2017-02-10 12:21:22.0"
"15110","A10027472","상도효성해링턴플레이스","아파트","","서울","동작구","상도동","B1 관리사무소","","","028255300","028255330","","","임대+분양","위탁관리","계단식","개별난방","2","202","(주)효성","상도동지역주택조합","2016-02-03 00:00:00.0","33592","15804","21163","54","148","0","","","2017-02-10 12:21:22.0","2022-04-05 15:03:52.0","","위탁","단일계약","위탁","1343.61","203","임의","2019-07-25 09:01:41.0","Y","N","126.942148701351","37.5057919936089","2017-02-10 12:21:22.0"
"15297","A10027289","센트라스","아파트","","서울","성동구","하왕십리동","센트라스아파트 관리사무소 2층(123동)","","","0233957961","0233957966","","","임대+분양","위탁관리","계단식","개별난방","30","2529","포스코SK현대","왕십리뉴타운3구역주택재개발정비사업조합","2016-11-29 00:00:00.0","459952","177398","242191","1210","1148","171","","","2017-02-10 12:21:22.0","2022-04-05 04:56:20.0","","위탁","단일계약","직영","36933.72","3716","의무","2017-08-09 10:46:44.0","Y","N","127.028445899926","37.5663379455023","2017-02-10 12:21:22.0"
"15298","A10027301","마포한강2차푸르지오","주상복합","서울특별시 마포구 월드컵로3길 14","서울","마포구","합정동","합정동 마포한강2차 푸르지오","월드컵로3길","14","023232107","023232151","","","분양","위탁관리","계단식","개별난방","2","198","(주)대우건설","주식회사 파나씨티","2016-07-14 00:00:00.0","97577","18333","18333","0","132","66","","","2017-02-10 12:21:22.0","2022-04-05 11:13:07.0","","위탁","종합계약","위탁","24042.50","301","의무","2019-08-09 13:05:33.0","Y","N","126.912343994","37.551034901","2017-02-10 12:21:22.0"
"15391","A10027188","금천롯데캐슬골드파크1차아파트","아파트","","서울특별시","금천구","독산동","(독산동 금천롯데캐슬골드파크1차아파트)","","","028098406","028098408","","","임대+분양","위탁관리","계단식","개별난방","11","1743","롯데건설(주)","(주)제이피홀딩스","2016-11-30 00:00:00.0","270973","137731","188228","357","1281","105","","","","2022-04-05 13:50:43.0","658660","위탁","단일계약","위탁","11759.00","2265","의무","2019-04-26 09:45:29.0","Y","N","126.894426981405","37.4597543543324","2017-02-10 14:03:02.0"
"15392","A10027205","아크로리버파크","아파트","서울특별시 서초구 신반포로15길 19","서울특별시","서초구","반포동","19","신반포로15길","19","0234782904","0234782905","","","임대+분양","위탁관리","혼합식","지역난방","15","1612","(주)대림산업","신반포1차재건축주택조합","2016-08-30 00:00:00.0","346883","155509","206183","323","687","495","","www.acroriverpark.net/","","2022-04-05 16:25:28.0","","위탁","종합계약","위탁","13581.00","2973","의무","2017-03-03 14:08:12.0","Y","N","126.993250772","37.504899938","2017-02-10 14:40:13.0"
"15401","A10027195","위례중앙푸르지오아파트","아파트","","서울특별시","송파구","장지동","장지동 897 위례중앙푸르지오1단지","","","024300046","024300048","","","분양","위탁관리","계단식","지역난방","2","163","대우건설","(주)한국자산신탁","2016-12-23 00:00:00.0","40463","15904","20868","0","86","73","","위례중푸.apti.co.kr/aptHome/","","2022-02-28 13:39:58.0","92022030941","위탁","종합계약","위탁","8988.00","453","의무","2017-03-03 14:08:40.0","Y","N","127.141557325873","37.4748092716764","2017-02-14 13:24:08.0"
"17788","A10027189","보문파크뷰자이아파트","아파트","서울특별시 성북구 보문사길 111","서울특별시","성북구","보문동6가","관리사무소","보문사길","111","029279110","029279279","","","임대+분양","위탁관리","혼합식","개별난방","17","1186","GS건설","보문제3구역 주택재개발정비사업조합","2017-01-18 00:00:00.0","166765","73895","102269","694","492","0","","","","2022-04-05 07:01:05.0","","위탁","종합계약","위탁","9217.77","1293","의무","2017-03-03 14:08:23.0","Y","N","127.018504541","37.578039998","2017-02-23 12:16:31.0"
"17850","A13120003","면목두산6차","아파트","서울특별시 중랑구 답십리로77길 139","서울","중랑구","면목동","","답십리로77길","139","0222077320","0222097321","","","분양","직영","계단식","개별난방","1","84","두산개발(주)","두산개발(주)","1993-11-12 00:00:00.0","9988","6069","294","42","42","0","","","2017-04-17 21:34:29.0","2022-04-05 06:28:32.0","","직영","종합계약","직영","7376.46","84","기타","2021-05-03 17:01:43.0","Y","N","127.080675138","37.577601274","2021-05-03 15:40:27.0"
"17853","A10027136","도봉숲 아뜨리움","아파트","서울특별시 도봉구 도봉로167길 38","서울","도봉구","도봉동","도봉숲아뜨리움 지하1층 관리사무소","도봉로167길","38","029565982","029565983","","","분양","위탁관리","계단식","개별난방","5","172","성보건설산업(주)","두암산업","2016-09-13 00:00:00.0","18442","9248","11769","170","2","0","","","2017-04-17 23:05:21.0","2022-04-05 08:22:04.0","","위탁","단일계약","위탁","3196.62","165","의무","2018-01-25 10:52:18.0","Y","N","127.043095482","37.67819466","2017-04-17 23:05:21.0"
"17854","A10027121","녹천역두산위브아파트","아파트","서울특별시 노원구 마들로5길 25","서울","노원구","월계동","녹천역두산위브아파트","마들로5길","25","029088771","029088772","1417","","임대+분양","위탁관리","혼합식","개별난방","10","326","두산건설주식회사","월계4구역재개발조합","2017-10-20 00:00:00.0","47861","24906","31900","97","215","14","","","2017-04-17 23:07:51.0","2022-04-05 08:30:50.0","","위탁","단일계약","위탁","6326.11","360","의무","2017-05-18 11:07:47.0","Y","N","127.052573601","37.64131959","2017-04-17 23:07:51.0"
"17861","A10027162","포레스트힐시티","도시형 생활주택(주상복합)","서울특별시 종로구 대학로 33","서울","종로구","효제동","관리사무소","대학로","33","027437430","027437431","","","분양","위탁관리","타워형","개별난방","1","152","신홍선건설","마르코통상","2017-01-20 00:00:00.0","6997","2705","3778","152","0","0","","","2017-04-17 20:01:41.0","2022-04-05 04:04:10.0","","위탁","종합계약","위탁","607.12","90","의무","2017-05-19 14:46:02.0","Y","N","127.001860865","37.574038827","2017-04-17 20:01:41.0"
"17863","A10027105","경희궁자이3단지","주상복합","서울특별시 종로구 경교장길 35","서울","종로구","평동","경희궁자이3단지","경교장길","35","027372101","027372102","","","분양","위탁관리","계단식","개별난방","8","589","자이건설(주)","돈의문1구역 도시환경 사업조합","2017-02-24 00:00:00.0","98494","45327","60080","189","385","15","","ghgxi3.aptner.com/v2","2017-04-17 20:03:23.0","2022-04-05 04:08:33.0","917-12-33215-1","위탁","단일계약","위탁","8590.00","734","의무","2018-02-06 09:47:17.0","Y","N","126.965171094","37.568854929","2017-04-17 20:03:23.0"
"17864","A10027118","경희궁자이2단지 아파트","주상복합","서울특별시 종로구 송월길 99","서울","종로구","홍파동","경희궁자이2단지아파트 관리사무소","송월길","99","027232107","027232109","","","분양","위탁관리","계단식","개별난방","14","1148","GS건설","돈의문1구역 도시환경 사업조합","2017-02-24 00:00:00.0","194111","98892","130419","151","782","194","","admin.aptner.com","2017-04-17 20:03:27.0","2022-04-05 04:08:53.0","","위탁","종합계약","위탁","13397.75","1456","의무","2017-08-02 10:26:35.0","Y","N","126.964152408","37.569205424","2017-04-17 20:03:27.0"
"17866","A14074501","한강로우림필유","아파트","서울특별시 용산구 이촌로29길 21-7","서울","용산구","한강로3가","","이촌로29길","21-7","027901805","027901806","","","분양","위탁관리","계단식","개별난방","4","144","우림","재건축조합","2006-09-15 00:00:00.0","19825","12161","15124","0","144","0","","","2017-04-17 20:16:40.0","2022-04-05 04:39:48.0","","직영","단일계약","직영","1599.68","163","기타","2020-10-29 14:16:51.0","Y","N","126.959849536","37.525620831","2020-10-29 09:44:04.0"
"17867","A10027071","한남아이파크","아파트","서울특별시 용산구 독서당로 46","서울","용산구","한남동","","독서당로","46","025886953","027946953","","","분양","위탁관리","복도식","개별난방","1","280","현대산업개발","만강건설","2017-03-08 00:00:00.0","27473","14029","27473","270","2","8","","","2017-04-17 20:29:30.0","2022-04-05 04:50:36.0","","직영","단일계약","직영","1720.07","295","의무","2021-03-03 11:32:12.0","Y","N","127.007259146","37.532400862","2021-03-03 09:06:33.0"
"17875","A10027297","대성유니드아파트","아파트","서울특별시 중랑구 봉화산로56길 140","서울","중랑구","신내동","","봉화산로56길","140","0234210295","0234210296","","","분양","위탁관리","계단식","개별난방","1","133","대성","대성","2005-05-26 00:00:00.0","16602","10446","13069","28","75","30","","","2017-04-17 21:55:23.0","2022-04-05 06:51:02.0","","직영","종합계약","직영","1105.04","146","기타","2020-06-08 09:17:15.0","Y","N","127.096286978","37.602732708","2017-04-17 21:55:23.0"
"17877","A10027227","돈암코오롱하늘채아파트","아파트","서울특별시 성북구 아리랑로 75","서울","성북구","돈암동","돈암코오롱하늘채아파트관리사무소","아리랑로","75","029277650","029277652","","","임대+분양","위탁관리","혼합식","개별난방","10","629","돈암정릉구역주택재개발정비사업조합","코오롱건설","2016-12-29 00:00:00.0","98373","45972","96119","246","367","16","","","2017-04-17 22:01:52.0","2022-04-05 06:55:19.0","","위탁","종합계약","위탁","6461.29","690","의무","2017-10-25 17:31:59.0","Y","N","127.013683635","37.598845928","2017-04-17 22:01:52.0"
"17881","A10027090","마포센트럴아이파크","아파트","서울특별시 마포구 마포대로 246","서울","마포구","아현동","아현아이파크","마포대로","246","023920226","023920228","","","임대+분양","위탁관리","계단식","개별난방","6","497","현대산업개발","아현1-3구역 재개발정비사업조합","2017-11-16 00:00:00.0","78227","38231","51206","206","205","86","","ahyeonipark.com/","2017-04-18 00:18:26.0","2022-04-05 10:46:43.0","","위탁","종합계약","위탁","3542.81","580","의무","2017-11-27 11:51:28.0","Y","N","126.958559679","37.555353944","2017-04-18 00:18:26.0"
"17882","A12179006","신공덕e-편한세상","아파트","","서울","마포구","신공덕동","","","","027012933","027012934","","","분양","위탁관리","혼합식","개별난방","3","128","(주)삼호","마포신공덕4구역주택재개발조함","2007-10-18 00:00:00.0","17043","10193","12976","56","47","25","","","2017-04-18 00:23:24.0","2022-04-05 10:54:02.0","10582670160","직영","종합계약","직영","0.00","144","기타","2017-04-18 00:23:24.0","Y","N","126.95706655016","37.5419083408628","2017-04-18 00:23:24.0"
"17887","A15076701","도림한라","아파트","서울특별시 영등포구 도신로15다길 33","서울","영등포구","도림동","","도신로15다길","33","028416515","028436515","","","분양","자치관리","혼합식","개별난방","1","142","한라건설","한라건설","1998-08-27 00:00:00.0","17994","10268","13749","71","71","0","","","2017-04-18 02:46:41.0","2022-04-05 14:22:14.0","","위탁","단일계약","위탁","0.00","","기타","2020-07-02 00:00:00.0","Y","N","126.897141377","37.507753509","2017-04-18 02:46:41.0"
"17888","A15076801","금호어울림","아파트","서울특별시 영등포구 문래로 137","서울","영등포구","문래동3가","","문래로","137","0226727300","0226727302","","","분양","위탁관리","계단식","개별난방","3","134","(주)금호산업","(주) 집과사람","2006-09-29 00:00:00.0","20507","11388","14889","0","134","0","","","2017-04-18 02:47:14.0","2022-04-05 14:23:52.0","90700040001","위탁","종합계약","위탁","1369.26","145","임의","2017-06-19 16:45:59.0","Y","N","126.897049075","37.519107615","2017-04-18 02:47:14.0"
"17895","A10027207","래미안힐스테이트 고덕 ","아파트","서울특별시 강동구 아리수로50길 50","서울","강동구","고덕동","생활지원센터","아리수로50길","50","024818729","024818732","","","임대+분양","위탁관리","계단식","지역난방","51","3658","삼성 현대","고덕시영아파트 주택재건축사업조합","2016-12-29 00:00:00.0","673476","289808","396458","1074","2105","472","","https://cafe.naver.com/goraehill","2017-04-18 05:55:51.0","2022-04-05 18:46:38.0","91711936281","위탁","종합계약","위탁","0.00","0","의무","2019-05-29 18:30:03.0","Y","N","127.150901775","37.559120831","2017-04-18 05:55:51.0"
"17898","A13402004","강동이루미","","서울특별시 강동구 양재대로123길 30","서울","강동구","천호동","","양재대로123길","30","","","","","","직영","기타","기타","","74","","","","0","6163","0","2","72","0","","","2017-04-18 06:09:55.0","2022-04-05 19:07:58.0","21280065930","직영","단일계약","위탁","877.00","87","기타","2019-06-07 13:43:59.0","Y","N","127.14014389","37.543771586","2017-04-18 06:09:55.0"
"17906","A10027073","래미안에스티움","아파트","서울특별시 영등포구 신풍로 77","서울","영등포구","신길동","생활지원센터","신풍로","77","028499571","028499574","","","임대+분양","위탁관리","혼합식","개별난방","19","1722","삼성물산주식회사","신길7재정비촉진구역주택재개발사업조함","2017-04-12 00:00:00.0","272492","133313","178278","682","833","207","","estium.aptner.co.kr","2017-04-18 02:58:24.0","2022-04-05 14:44:38.0","","위탁+직영","종합계약","위탁+직영","13438.18","2280","의무","2017-04-12 00:00:00.0","Y","N","126.911869059","37.500998074","2017-04-18 02:58:24.0"
"17941","A13993002","중계현대2차","아파트","서울특별시 노원구 중계로8길 103","서울","노원구","중계동","(중계본동중계현대2차)","중계로8길","103","029319585","029319585","","","분양","위탁관리","계단식","개별난방","2","313","현대건설","현대건설","1993-11-25 00:00:00.0","14997","25695","14997","0","313","0","","","2017-05-20 00:15:45.0","2022-04-05 09:38:12.0","","위탁","단일계약","위탁","1886.15","120","기타","2019-02-12 09:57:26.0","Y","N","127.084614411","37.648093536","2017-05-20 00:15:45.0"
"17942","A10027019","상암DMC엘가","도시형 생활주택(주상복합)","서울특별시 서대문구 모래내로 151","서울","서대문구","남가좌동","관리사무소","모래내로","151","0260108781","0260108782","","","분양","위탁관리","복도식","개별난방","1","288","모아주택산업(주)","스카이원레져","2017-02-08 00:00:00.0","13558","5862","12612","288","0","0","","","2017-05-24 00:34:05.0","2022-04-05 10:43:54.0","1248737217","위탁","단일계약","위탁","1127.38","100","의무","2017-06-29 13:57:46.0","Y","N","126.917815537","37.569890023","2017-05-24 00:34:05.0"
"17943","A10027016","방배자이아파트","아파트","서울특별시 서초구 방배로18길 67","서울","서초구","방배동","관리사무소","방배로18길","67","025875633","025875634","","","분양","위탁관리","계단식","개별난방","3","136","LG건설","한국토지신탁","2003-11-01 00:00:00.0","39125","24382","27369","0","0","0","","","2017-05-25 04:14:35.0","2022-04-05 16:03:29.0","","위탁","단일계약","위탁","27368.68","378","기타","2019-03-27 17:53:54.0","Y","N","126.998967937","37.485967505","2017-05-25 04:14:35.0"
"17982","A10026988","트리마제","아파트","서울특별시 성동구 왕십리로 16","서울","성동구","성수동1가","트리마제 생활지원센터","왕십리로","16","024680520","024680524","","","분양","위탁관리","계단식","개별난방","4","688","두산중공업","한양개발주식회사","2017-05-29 00:00:00.0","132364","61742","87471","152","326","0","","","2017-06-15 20:55:19.0","2022-04-05 05:28:07.0","91814740161","위탁","종합계약","위탁","4518.81","1106","의무","2018-02-02 09:36:44.0","Y","N","127.044437092","37.538534075","2017-06-15 20:55:19.0"
"18041","A10026946","경희궁자이1단지(임대아파트)","아파트","서울특별시 종로구 송월길 130","서울","종로구","행촌동","","송월길","130","027395383","027395385","","","","위탁관리","복도식","개별난방","5","496","GS자이","서울주택도시공사(구 SH공사)","2017-06-29 00:00:00.0","48330","21034","48303","496","0","0","","","2017-07-11 20:03:53.0","2022-04-05 04:09:39.0","","위탁","단일계약","위탁","0.00","0","임대","2020-09-07 17:54:16.0","Y","N","126.964497043","37.572234844","2020-09-07 15:33:43.0"
"18061","A10026947","꿈의숲롯데캐슬아파트","아파트","서울특별시 강북구 오현로 56","서울","강북구","미아동","관리사무소","오현로","56","029856031","029456030","","","임대+분양","위탁관리","복도식","개별난방","11","615","롯데건설(주)","미아제4구역재개발정비사업조합","2017-02-27 00:00:00.0","93239","45906","59451","205","386","24","","","2017-07-11 22:35:21.0","2022-04-05 07:38:58.0","","위탁","종합계약","위탁","59450.35","716","의무","2017-09-04 18:49:34.0","Y","N","127.035613592","37.617159235","2017-07-11 22:35:21.0"
"18062","A10026940","경희궁자이4단지주상복합","주상복합","서울특별시 종로구 송월길 155","서울","종로구","교남동","경희궁자이4단지","송월길","155","0232100985","0232100986","","","분양","위탁관리","계단식","개별난방","3","182","지에스건설","돈의문지역주택조합","2017-06-29 00:00:00.0","23557","7376","10916","182","0","0","","ghgxi4.xisnd.co.kr/","2017-07-13 20:03:56.0","2022-04-05 04:08:11.0","","위탁","단일계약","위탁","2154.00","222","의무","2017-09-04 09:50:41.0","Y","N","126.961547023","37.571389503","2017-07-13 20:03:56.0"
"18063","A10026941","서초푸르지오써밋","아파트","서울특별시 서초구 서운로 201","서울","서초구","서초동","서초푸르지오써밋아파트 관리사무소","서운로","201","0234820907","0234820939","","","임대+분양","위탁관리","계단식","지역난방","7","907","대우건설","서초삼호1차아파트주택재건축정비조합","2017-06-22 00:00:00.0","162715","78715","105109","192","388","327","","","2017-07-14 05:20:39.0","2022-04-05 16:41:43.0","","위탁","종합계약","위탁","6534.79","1284","의무","2018-10-11 17:11:37.0","Y","N","127.021202557","37.501586389","2017-07-14 05:20:39.0"
"18101","A10026922","래미안용산아파트","주상복합","서울특별시 용산구 한강대로 95","서울","용산구","한강로2가","(한강로2가 래미안용산)","한강대로","95","027906033","027906044","","","분양","위탁관리","혼합식","중앙난방","2","195","삼성물산","용산역전면제3구역도시환경정비사업조합","2017-05-31 00:00:00.0","60390","30636","60390","0","0","0","","","2017-07-26 20:17:08.0","2022-04-05 04:37:03.0","","위탁","종합계약","위탁","5908.10","476","의무","2018-07-27 09:31:36.0","Y","N","126.966626598","37.528817959","2017-07-26 20:17:08.0"
"18102","A10026910","관악우정하이비전아파트 1단지","아파트","서울특별시 관악구 양지길 50-5","서울","관악구","신림동","","양지길","50-5","028727794","028727426","","","분양","위탁관리","계단식","개별난방","2","140","우정건설(주)","청빛산업개발(주)","2004-06-11 00:00:00.0","19269","11790","15206","0","140","0","","","2017-08-01 03:43:47.0","2022-04-05 15:51:57.0","","위탁","단일계약","위탁+직영","0.00","0","기타","2020-09-14 14:21:45.0","Y","N","126.928987037","37.471423323","2020-09-11 15:55:53.0"
"18121","A10026924","대치SK VIEW","아파트","서울특별시 강남구 삼성로51길 25","서울","강남구","대치동","대치SK VIEW 아파트","삼성로51길","25","025674243","025674244","","","분양","위탁관리","계단식","지역난방","4","239","에스케이건설(주)","대치국제아파트주택재건축정비사업조합","2017-06-20 00:00:00.0","49012","22080","28926","4","104","131","","","2017-07-27 05:53:39.0","2022-04-05 17:21:35.0","","직영","종합계약","직영","3268.78","421","의무","2017-07-27 14:10:25.0","Y","N","127.060987215","37.495928761","2017-07-27 05:53:39.0"
"18141","A10026900","왕십리 자이 아파트","아파트","서울특별시 성동구 난계로 100","서울","성동구","하왕십리동","(하왕십리동왕십리자이)","난계로","100","0222914256","029300747","4","FILE_000000000437124","임대+분양","위탁관리","혼합식","개별난방","6","713","GS건설","하왕 제1-5구역 주택재개발정비사업조합","2017-07-28 00:00:00.0","99726","43699","60137","562","151","0","","www.wangsimnixi.com","2017-08-07 20:30:04.0","2022-04-05 04:57:04.0","20981344450","위탁","종합계약","위탁","4848.83","933","의무","2018-12-05 09:22:32.0","Y","N","127.024673339","37.561526818","2017-08-07 20:30:04.0"
"18161","A10026881","서울역센트럴자이아파트","아파트","서울특별시 중구 만리재로 175","서울","중구","만리동2가","서울특별시 중구 만리재로175","만리재로","175","023629951","023629952","","","임대+분양","위탁관리","혼합식","개별난방","14","1341","GS건설주식회사","만리제2지구재개발 정비사업주택조합","2017-08-07 00:00:00.0","186288","91297","125964","641","681","19","","sscxi.ezville.net/","2017-08-21 20:12:17.0","2022-04-05 04:25:40.0","","위탁","종합계약","위탁","10187.72","1547","의무","2019-05-03 11:55:04.0","Y","N","126.963095629","37.554609078","2017-08-21 20:12:17.0"
"18162","A10026874","강변에스케이뷰","아파트","서울특별시 광진구 아차산로 431","서울","광진구","구의동","구의동강변에스케이뷰","아차산로","431","024570728","024570726","","","임대+분양","위탁관리","계단식","개별난방","2","197","(주)에스케이건설","한국자산신탁(주)","2017-07-14 00:00:00.0","31265","16723","31265","0","196","1","","","2017-08-22 21:14:56.0","2022-04-05 05:37:08.0","","위탁","종합계약","위탁","4142.89","234","의무","2018-01-05 09:56:17.0","Y","N","127.090159908","37.538654984","2017-08-22 21:14:56.0"
"18181","A10026879","마곡13단지 힐스테이트마스터 아파트","아파트","서울특별시 강서구 마곡중앙1로 71","서울","강서구","마곡동","입주민지원센터","마곡중앙1로","71","0236647070","0236647117","","","분양","위탁관리","계단식","지역난방","22","1194","현대엔지니어링","코리아신탁","2017-04-10 00:00:00.0","191644","91645","123972","393","801","0","","","2017-08-22 02:06:43.0","2022-04-05 12:46:14.0","","위탁","종합계약","위탁","14587.99","1677","의무","2019-05-28 12:56:38.0","Y","N","126.817866875","37.556919366","2017-08-22 02:06:43.0"
"18221","A10026849","묵정아파트","아파트","서울특별시 중구 서애로1길 34","서울","중구","묵정동","","서애로1길","34","0222722129","0222723129","","","분양","자치관리","복도식","개별난방","1","122","라이프주택","묵정아파트 주택조합 ","1981-05-25 00:00:00.0","7354","6455","6912","121","0","1","","","2017-09-05 20:06:39.0","2022-04-05 04:14:50.0","2018002485","직영","종합계약","직영","7354.00","45","임의","2020-07-10 00:00:00.0","Y","Y","127.000070648","37.560705866","2017-09-05 20:06:39.0"
"18241","A10026852","래미안강동팰리스","아파트","서울특별시 강동구 천호대로 1077","서울","강동구","천호동","(천호동 래미안강동팰리스)","천호대로","1077","024740991","024740988","","","분양","위탁관리","계단식","개별난방","3","999","삼성물산","생보부동산신탁","2017-07-31 00:00:00.0","171450","79937","114090","231","756","0","","","2017-09-06 06:35:46.0","2022-04-05 19:08:22.0","91713607381","위탁","종합계약","위탁","13233.00","1200","의무","2017-07-31 00:00:00.0","Y","N","127.131431454","37.537256476","2017-09-06 06:35:46.0"
"18242","A10026842","은평지웰테라스","연립주택","서울특별시 은평구 진관4로 78-38","서울","은평구","진관동","은평지웰테라스관리사무소","진관4로","78-38","023530911","023530912","","","분양","위탁관리","계단식","지역난방","12","220","(주)한라건설","(주)신영","2017-07-31 00:00:00.0","33646","18584","23653","0","220","0","","cafe.naver.com/gwell2017","2017-09-07 00:09:50.0","2022-04-05 10:16:35.0","","위탁","종합계약","위탁","8556.19","252","의무","2018-05-10 14:48:18.0","Y","N","126.931359825","37.643916227","2017-09-07 00:09:50.0"
"18243","A10026834","힐스테이트 백련산4차 아파트","아파트","서울특별시 은평구 백련산로 37","서울","은평구","응암동","힐스테이트백련산4차아파트","백련산로","37","023049116","023049118","","","임대+분양","직영","계단식","개별난방","13","963","현대건설","응암1주택재건축정비사업조합","2018-02-19 00:00:00.0","147041","71911","96169","397","566","0","","백련산4차.apitco.kr","2017-09-08 00:09:34.0","2022-04-05 09:58:38.0","","위탁+직영","단일계약","위탁+직영","9050.59","1180","의무","2018-05-03 15:56:35.0","Y","N","126.922119678","37.589428823","2017-09-08 00:09:34.0"
"18261","A10026816","아크로타워스퀘어","아파트","서울특별시 영등포구 국회대로54길 10","서울","영등포구","영등포동7가","","국회대로54길","10","0220685941","0220685943","","","임대+분양","위탁관리","혼합식","개별난방","7","1221","대림산업","영등포1-4구역도시환경정비사업조합","2017-08-30 00:00:00.0","175988","89163","123342","425","704","85","","https://cafe.naver.com/acro2017","2017-09-16 03:20:19.0","2022-04-05 14:00:31.0","91815251691","위탁","단일계약","직영","17598789.00","1609","의무","2017-09-16 00:00:00.0","Y","N","126.908306473","37.522935232","2017-09-16 03:20:19.0"
